Finnish;English;
Field id;Otsikko (FI);Otsikko (EN);Info
observation_date;Päivämäärä;Observation date;You should fill in the date of the observation.
observation_start_hours;Kellonaika;Time;
observation_coordinates;;;
mainmenu_observation;Havainto;Observation;
observation_location;Paikkakunnan nimi;City;City/municipality of the observation
user_name;Oikea nimi;Your real name;Fill in your real name. No nicknames are accepted.
user_email;Sähköpostiosoite;Email;Fill in your real and valid email address. An observation modification link will be sent to your mailbox.
user_phone;Puhelinnumero;Phone;Your phone number. The contact data you are givin will not be used for marketing or given to spammers, but rereachers might call you if they want more information related to the event.
observation_public;Nimeni voi näkyä havaintoni yhteydessä;My can be shown as part the public observation data.;If you unselect, the observation will be shown as anonymous on the Internet. Only administrators can see your name.
c   ;-valitse -;-select -;
observation_title;Tulipallo yöllä, Venusta kirkkaampi;Fireball at night, brighter than Venus;
observation_title;Tulipallo yöllä kuin puolikuu;Fireball at night, like half Moon;
observation_title;Tulipallo yöllä, kuin täysikuu;Fireball at night, like full Moon;
observation_title;Tulipallo yöllä, täysikuuta kirkkaampi;Fireball at night, brighter than full Moon;
observation_title;Tulipallo yöllä, kuin Aurinko;Fireball at night, like the Sun;
observation_title;Tulipallo hämärätaivaalla;Fireball right after sunset;
observation_title;Tulipallo päivätaivaalla;A mid-day fireball;
observation_descriptio;Havaintokertomus;Story;Feel free  to describe the event, its appearance and your feelings.
observation_showiness;Ilmiön kirkkaus;;
observation_equipment;Tekniset tiedot;Technical details;Technical details of the observation
specific_havaintoajan_tarkkuus;Antamasi havaintoajan tarkkuus?;How precise is your time estimate?;
specific_havaintoajan_tarkkuus;- valitse -; - select - ;
specific_havaintoajan_tarkkuus;Enintään 1 min heitto mahdollinen;The difference is one minute at maximum;
specific_havaintoajan_tarkkuus;2 min heitto mahdollinen;The difference can be about 2 minutes;
specific_havaintoajan_tarkkuus;5 min heitto mahdollinen;The difference can be about 5 minutes;
specific_havaintoajan_tarkkuus;15 min heitto mahdollinen;The difference can be about 15 minutes;
specific_havaintoajan_tarkkuus;1-2 tunnin heitto mahdollinen;The difference can be from one to two hours;
specific_havaintoajan_tarkkuus;1-2 päivän epätarkkuus;The difference can be from one to two days;
specific_havaintoajan_tarkkuus;Havaintokuukausi on epävarma;The month of the observation is uncertain;
specific_havaintoajan_tarkkuus;Havaintovuosi on epävarma;The year of the observation is uncertain;
specific_lennon_kesto;Kuinka kauan näit tulipallon lentävän taivaalla?;How long did the fireball's flight last?;Most fireballs last a couple of seconds. If the object's flight lasted longer than 20 seconds, it most likely wasn't a meteor.
specific_lennon_kesto;- valitse -;- select -;
specific_lennon_kesto;Alle sekunnin;Less than one second;
specific_lennon_kesto;1 sekunnin;1 second;
specific_lennon_kesto;2 sekuntia;2 seconds;
specific_lennon_kesto;3 sekuntia;3 seconds;
specific_lennon_kesto;4 sekuntia;4 seconds;
specific_lennon_kesto;5 sekuntia;5 seconds;
specific_lennon_kesto;6 sekuntia;6 seconds;
specific_lennon_kesto;7 sekuntia;7 seconds;
specific_lennon_kesto;8 sekuntia;8 seconds;
specific_lennon_kesto;9 sekuntia;9 seconds;
specific_lennon_kesto;10 sekuntia;10 seconds;
specific_lennon_kesto;11-15 sekuntia;11-15 seconds;
specific_lennon_kesto;16-20 sekuntia;16-20 seconds;
specific_lennon_kesto;Yli 20 sekuntia;more than 20 seconds;
specific_sammumistapa;Miten tulipallo sammui?;How did your fireball fade away?;
specific_sammumistapa;- valitse -;- select -;
specific_sammumistapa;Katosi esteen (esim. puiden  tai pilven) taakse;It disappeared behind an object (perhaps a tree or clouds);
specific_sammumistapa;Sammui yhtäkkiä;Faded out quickly;
specific_sammumistapa;Sammui hiipumalla;Faded out slowly;
specific_sammumistapa;Hajosi palasiksi, jotka hiipuivat;Broke into pieces which then faded out;
specific_ilmansuunta_katoamishetkellä;Missä ilmansuunnassa tulipallo oli, kun se katosi näkyvistäsi?;What was the compass direction of the object when it disappeared?;
specific_ilmansuunta_katoamishetkellä;- valitse -;- select -;
specific_ilmansuunta_katoamishetkellä;Pohjoinen;North;
specific_ilmansuunta_katoamishetkellä;Koillinen;Northeast;
specific_ilmansuunta_katoamishetkellä;Itä;East;
specific_ilmansuunta_katoamishetkellä;Kaakko;Southeast;
specific_ilmansuunta_katoamishetkellä;Etelä;South;
specific_ilmansuunta_katoamishetkellä;Lounas;Southwest;
specific_ilmansuunta_katoamishetkellä;Länsi;West;
specific_korkeus_katoamishetkellä;Kuinka korkealla tulipallo oli, kun se katosi näkyvistäsi?;How high was the fireball when it disappeared?;
specific_korkeus_katoamishetkellä;- valitse -;- select -;
specific_korkeus_katoamishetkellä;Suoraan pääni yläpuolella;Directly over my head;
specific_korkeus_katoamishetkellä;Lähes suoraan pääni yläpuolella;Nearly over my head;
specific_korkeus_katoamishetkellä;Noin 1/3:n päässä taivaanlaesta kohti horisonttia;About 1/3 from the zenith towards horizon;
specific_korkeus_katoamishetkellä;Noin puolivälissä taivasta;Directly between the zenith and the horizon;
specific_korkeus_katoamishetkellä;Noin 1/3:n päässä horisontista kohti taivaanlakea;About 1/3 from the horizon towards zenith;
specific_korkeus_katoamishetkellä;Melko matalalla lähellä horisonttia;Quite close to horizon;
specific_korkeus_katoamishetkellä;Erittäin matalalla horisontin luona;Very close to horizon;
specific_lentokulma;Millä korkeuskulmalla tulipallo sijaitsi, kun se katosi näkyvistäsi?;What was the direction angle of the observation;
